时间 t (s),浮子位移 x1 (m),振子位移 x2 (m),浮子速度 v1 (m/s),振子速度 v2 (m/s)
58.400000000000006,0.4820106808168774,0.5154271072842617,-0.005699141,-0.00357832
58.6,0.46063937947320255,0.4928455216366208,-0.206596865,-0.220660315
58.800000000000004,0.4004881343638141,0.4285196505490263,-0.39072904,-0.417627013
59,0.30656981331635835,0.32827765842550255,-0.541607391,-0.577525922
59.2,0.18701585624462577,0.20077797940835038,-0.64511355,-0.688453798
59.400000000000006,0.052284635512969406,0.05679955466936737,-0.692415969,-0.740950229
59.6,-0.085993956,-0.091314322,-0.680530675,-0.729372696
59.800000000000004,-0.216102214,-0.230739621,-0.611412735,-0.654888669
60,-0.327163803,-0.349605315,-0.491517242,-0.525586442
60.2,-0.410042083,-0.438157777,-0.331743719,-0.354116291
60.400000000000006,-0.458169297,-0.489450193,-0.146659096,-0.155675807
60.6,-0.468123012,-0.499749074,0.04716697014130483,0.05291349863984028
60.800000000000004,-0.439800883,-0.468871287,0.23355832635907786,0.25273978813931025
61,-0.376196159,-0.400441438,0.39753104976068454,0.42596311598211617
61.2,-0.28321058,-0.301074108,0.5253042159603011,0.5604647964494751
61.400000000000006,-0.169167773,-0.179427859,0.6068609320637403,0.6474392791464656
61.6,-0.043879259,-0.045712427,0.6373737561265516,0.6803607743945201
61.800000000000004,0.08235307103796496,0.08896664012329497,0.616573491076069,0.6572522033763649
62,0.1995462604851469,0.2137139666215663,0.5478293728771588,0.5821839150090595
62.2,0.29873600342932977,0.31895197035732176,0.4379654575627823,0.4638642625679573
62.400000000000006,0.3726569148077423,0.3971125823048132,0.29704719251341216,0.3133768764198294
62.6,0.4163035952167781,0.4429805070392963,0.137384067981386,0.14309217534031687
62.800000000000004,0.42723446969210027,0.45391859025212244,-0.027947654,-0.033618939
63,0.4055622602588954,0.4300862817054765,-0.186733036,-0.202118716
63.2,0.35373268754323667,0.3744852850249971,-0.327674237,-0.349566108
63.400000000000006,0.27637360706623587,0.2922396169273005,-0.44049897,-0.467373208
63.6,0.1799134840458099,0.18995371157927127,-0.517744243,-0.54894402
63.800000000000004,0.07191320931129218,0.07543918041545863,-0.55552539,-0.588966769
64,-0.03959548,-0.04270654,-0.552859009,-0.585243987
64.2,-0.146613381,-0.155867375,-0.511015766,-0.539757107
64.4,-0.241625753,-0.256155,-0.433617383,-0.457496703
64.60000000000001,-0.318090657,-0.336842234,-0.326739136,-0.34491387
64.8,-0.370886133,-0.392601614,-0.198364375,-0.209599299
65,-0.396602328,-0.41976743,-0.057490124,-0.060607589
65.2,-0.393674391,-0.416611007,0.08651206256603931,0.09185095711793975
65.4,-0.362400839,-0.383533153,0.22444672645282399,0.23680647911325006
65.60000000000001,-0.304919525,-0.323019835,0.3470374597792169,0.3648632606067048
65.8,-0.225199362,-0.239208314,0.44549344615766184,0.4686127659442753
66,-0.128797408,-0.137666949,0.512900354879679,0.5409992936242761
66.2,-0.022421447,-0.025321343,0.5446361050296408,0.5757951172848408
66.4,0.08649784202123072,0.08990693058615994,0.5380500714427802,0.5695513880332479
66.60000000000001,0.19019927263022762,0.19975835411679924,0.4925653788320356,0.5222807697935661
66.8,0.2810632783820082,0.2962567033316085,0.41027093384915664,0.43663670423171186
67,0.3521827031259645,0.3721650968302219,0.29618807692158805,0.3173550384708132
67.2,0.3979192952025873,0.42142763266133637,0.15788039876426557,0.17160019878558996
67.4,0.4143484403388641,0.4396910622792131,0.004823844479878887,0.009200571300199911
67.60000000000001,0.399589876763716,0.42478057326957225,-0.15209975,-0.158050997
67.8,0.35400962822896115,0.37704789747945133,-0.301478298,-0.316712715
68,0.2802892151924959,0.29950636331299335,-0.431507452,-0.454297249
68.2,0.18345998715580067,0.19741428665655048,-0.530822727,-0.560621098
68.4,0.07061153239615697,0.07796304841358248,-0.59048138,-0.626417605
68.60000000000001,-0.049707278,-0.049937578,-0.604867247,-0.644131226
68.8,-0.168152888,-0.17624186,-0.571628914,-0.610308271
69,-0.275247287,-0.290722748,-0.49185123,-0.526551525
69.2,-0.362116715,-0.383912487,-0.37055902,-0.398650547
69.4,-0.421294362,-0.447838248,-0.216725408,-0.235681748
69.60000000000001,-0.447440922,-0.476650517,-0.042467898,-0.049784958
69.8,-0.437857778,-0.467203427,0.13812613774759172,0.14427802815024782
70,-0.392728761,-0.419555973,0.310637789309843,0.3291418952535764
70.2,-0.315100384,-0.337270833,0.46069133506938853,0.48831230037674567
70.4,-0.21088032,-0.226757062,0.5744395245701309,0.6096493757050542
70.60000000000001,-0.088460569,-0.096606192,0.6413143064540159,0.6831113303621378
70.8,0.04212360215299905,0.042748612019237825,0.655509018556518,0.7006612916152989
71,0.17013142672371553,0.17970613638311195,0.6156626506817013,0.659158535352034
71.2,0.28495775170166143,0.3026862646523551,0.5244987584308061,0.5619446358429218
71.4,0.37697048259580673,0.4013336775047859,0.3890736651450265,0.4175833234843357
71.60000000000001,0.43838153494556525,0.4673679395288801,0.22067127957313368,0.23803117603512647
71.8,0.4639990861850911,0.4951637741973674,0.03372150732991087,0.03781330398907736
72,0.4516971956550159,0.48221775886274515,-0.155867854,-0.166395612
72.2,0.40249274998765855,0.42962725838519655,-0.332825484,-0.355460871
72.4,0.32040638522294196,0.342124097982218,-0.482240213,-0.513340289
72.60000000000001,0.2123324068546253,0.227120605599703,-0.590772496,-0.628830666
72.8,0.08743684632993892,0.09402551250338578,-0.649391396,-0.692895213
73,-0.043828139,-0.046176362,-0.654213412,-0.699243117
73.2,-0.170686598,-0.181764473,-0.605734324,-0.647205986
73.4,-0.282853555,-0.301534022,-0.508366087,-0.542443504
73.60000000000001,-0.371327161,-0.395893266,-0.370535179,-0.395028895
73.8,-0.429167111,-0.457537841,-0.20427603,-0.217557243
74,-0.452096502,-0.481870089,-0.023924199,-0.024436216
